,Hotel_Name,festac,Address,Cost,Property_type,Likes,Rating,Review
1929,GGC Luxury Serviced Apartment - Platinum,Victoria Island,"Victoria Island, Lagos - 12 Isheri Oshun Rd","₦86,555",Apartment,2,NA,NA
1930,MO2 Homes,Palmgrove,"Palmgrove, Lagos - Salami Saibu Street Pedro Road","₦18,885",MO2 Homes,2,NA,NA
1931,Real Habitats Platinum 4,Victoria Island,"Victoria Island, Lagos - 289B Akin Olugbade Street","₦69,245",Hotel,2,NA,NA
1932,Westley Vacation Rental Apartment,Isheri,"Isheri, Lagos - Isheri Idimu Round About  By Balogun Street","₦19,000",Apartment,2,NA,NA
1933,Vacation Home In VGC,Victoria Garden City,"Victoria Garden City, Lagos - Road 62","₦50,000",Vacation Home In VGC,2,NA,NA
1934,Feel Home,Lekki,"Lekki, Lagos -  Rd16 Lekki-Epe Expressway County Homes","₦31,500",Feel Home,2,NA,NA
1935,San Diego Bay,Lekki Phase 1,"Lekki Phase 1, Lagos - 15 Ladipo Latinwo Crescent","₦69,000",San Diego Bay,2,NA,NA
1936,Real Habitats Emerald Olive,Ikoyi,"Ikoyi, Lagos - ","₦63,087",Real Habitats Emerald Olive,2,NA,NA
1937,Five Star Hospitality And Tours,Isolo,"Isolo, Lagos - 79 Egbe Road By Ile Iwe Bus Stop","₦8,610",Five Star Hospitality And Tours,2,NA,NA
1938,Seacroft Court,Lekki,"Lekki, Lagos - No. 1 Jide Sawyer Drive Lekki","₦45,000",Hotel,4,NA,NA
1939,Le-Grand Condo,Lekki,"Lekki, Lagos - Off Freedom Way,","₦48,530",Le-Grand Condo,2,NA,NA
1940,GREENFISH APARTMENT,Ikoyi ,"Ikoyi , Lagos - 67A Lafiaji Way, Dolphin Estate, Ikoyi","₦70,000",Apartment,4,NA,NA
1941,ABOSEDE COURT,Isheri,"Isheri, Lagos - Abosede Court, By Riverside College, Off Associati...","₦120,000",Hotel,4,NA,NA
1942,1 Bedroom Furnished Apartment,Lekki,"Lekki, Lagos - Hitech Road, Lekki Gardens Phase 3, Behind Lagos B...","₦13,500",Apartment,2,NA,NA
1943,Casabella Homes-Four Bedroom Duplex,Victoria Garden City,"Victoria Garden City, Lagos - 51 Road 53 VGC","₦60,000",Apartment,4,NA,NA
1944,Nexus Suites,Ogudu,"Ogudu, Lagos - 36 Buari Street, Off Ogudu Road, Ogudu","₦15,000",Hotel,2,NA,NA
1945,Casa Uno ,Victoria Island,"Victoria Island, Lagos - Plot 1 Elegba Festival Drive, Oniru ","₦40,000",Hotel,4,NA,NA
1946,"1 Bedroom Apartment At Ayinke Tinubu Close, Lekki",Lekki Phase 1,"Lekki Phase 1, Lagos - 14, Rafiat Ayinke Tinudu Close, Off T.F Kuboye Roa...","₦25,000",Apartment,2,NA,NA
1947,The Milverton Apartment,Lekki,"Lekki, Lagos - Flat 3G Milverton Estate Osapa London, Lekki","₦40,000",Apartment,4,NA,NA
1948,Chiban Shortlet Apartment ,Lekki,"Lekki, Lagos - Block G,flat 601, Safe Court Estate Lekki Off Spar...","₦60,000",Hotel,4,NA,NA
1949,Travelsite Apartment ,Lekki,"Lekki, Lagos - Plot 1, Off Second Roundabout, 28 Remi Olowude Str...","₦120,000",Apartment,4,NA,NA
1950,Staresx Luxury Apartment,Gbagada,"Gbagada, Lagos - 21, Ora Ekpan Crescent, Gbagada Lagos - 100242","₦20,000",Staresx Luxury Apartment,4,NA,NA
1951,"Memes Court, Lekki Phase 1",Lekki Phase 1,"Lekki Phase 1, Lagos - Plot 96A Ladipo Omoteso Close, Lekki Phase 1 ","₦100,000",Apartment,4,NA,NA
1952, Baywill Hotels LTD,Lekki,"Lekki, Lagos -  17, Pine Court Apartments, Castlerock Avenue, Off...","₦29,033",Apartment,4,NA,NA
1953,Gemani Suites,Victoria Island,"Victoria Island, Lagos - No. 13 Kasumu Ekemode Street Off Bishop Oluwole St...","₦25,000",Hotel,4,NA,NA
1954,Ozone Apartment,Lekki,"Lekki, Lagos - 4b Bamidele Majiyagbe Street, Southern View Estate...","₦70,000",Apartment,4,NA,NA
1955,Sun Heaven Residence,Lekki Phase 1,"Lekki Phase 1, Lagos -  11 Amaechi Crescent By Goshen Estate, Lekki Phase...","₦85,000",Apartment,4,NA,NA
1956,"Ocean Park Hotel, Lekki Phase 1",Lekki Phase 1,"Lekki Phase 1, Lagos - 13B Dele Ogunbowale Crescent Off Whitesand Avenue ...","₦30,000",Hotel,4,NA,NA
1957,PRIME 16 Hotel And Suites,Ajao Estate,"Ajao Estate, Lagos - No. 16 Kaara Street, Ajao Estate","₦26,500",Hotel,4,NA,NA
1958,Novatel Hotel,Lekki,"Lekki, Lagos - Dr Wogu Udo, Drive Chevy View Estate Off New Road ...","₦30,000",Hotel,2,NA,NA
1959,Lekki Grandview Hotel,Lekki,"Lekki, Lagos - 132 Nnobi Lane, Beside Prince Ebeano Supermarket, ...","₦67,375",Hotel,4,NA,NA
1960,99 Apartments And Lounge,Ikeja,"Ikeja, Lagos - 20B Abba Johnston Crescent Akora Villa Estate, Ade...","₦14,500",Apartment,4,NA,NA
1961,Huxton Hotel,Lekki,"Lekki, Lagos - 16 Bamidele Eletu Street Opp. First City Hospital,...","₦35,000",Hotel,4,NA,NA
1962,JUMMYBABS GUEST HOUSE,Ikorodu,"Ikorodu, Lagos - 1 Ori Oke Abiye Street Imota Ikorodu Lagos",NA,JUMMYBABS GUEST HOUSE,2,7.6 Very Good,From 2 reviews
1963,Impress Hotel And Event Hall,,", Lagos - Km1, Isheri-Igando Road, Iyana Odo Bustop, Beside ...",NA,Impress Hotel And Event Hall,2,NA,NA
1964,Lagoon Hotel And Suites,Ajeromi Ifelodun,"Ajeromi-Ifelodun, Lagos - Rasidi Afuwape Street, Ajeromi-Ifelodun, Lagos Sta...",NA,Lagoon Hotel And Suites,2,6.0 Very Good,From 1 review
1965,Fredys Place Hotel,Ojo,"Ojo, Lagos - 11 YekiniStreet Shibiri",NA,Fredys Place Hotel,2,NA,NA
1966,Jidsma Hotel & Suites ,Oshidi Isolo,"Oshodi-Isolo, Lagos - 8/10 Wahab Kajogbola Street Off Dr Fasheun Avenue ...",NA,Hotel,2,NA,NA
1967,The Patron Hotel,Ajah,"Ajah, Lagos - Kilometre 20, Lekki, Epe",NA,Hotel,1,NA,NA
1968,Crestview Hotels & Suites,Ogudu,"Ogudu, Lagos - 4  Abudu Street, Ogudu Road, By Alhaja Bus-Stop, O...",NA,Hotel,1,NA,NA
1969,MOUNTAIN TOP HOTEL ,,", Lagos - ",NA,MOUNTAIN TOP HOTEL ,1,NA,NA
1970,O2 Hotel And Suite,Iju Ishaga,"Iju Ishaga, Lagos - 1 Odesina Close, Iju",NA,O2 Hotel And Suite,1,NA,NA
1971,Arabian Hotel,Ipaja,"Ipaja, Lagos - 1 David Ogundele St, Ipaja,",NA,Arabian Hotel,1,NA,NA
1972,OCOL HOTEL ,,", Lagos - 3 Abe Street Onipanu Ikorodu Road Lagos ",NA,OCOL HOTEL ,1,6.0 Very Good,From 1 review
1973,Casa Nomads,,", Lagos - Plot 28 Dele Ogunbowale Crescent, QMB Builder's Ma...",NA,Casa Nomads,1,NA,NA
1974,Adidas International Hotel,Ojo,"Ojo, Lagos - 5, Alhaji Adisa Osiefa St Ojo.",NA,Adidas International Hotel,2,NA,NA
1975,Gajons Hotel,Lekki,"Lekki, Lagos - 4, Otunba Tunde Seriki Close, Igbo Efon, Lekki, La...",NA,Gajons Hotel,2,NA,NA
1976,Danielle Meadows Hotel,Lekki,"Lekki, Lagos - 4, Patrick Abak Crescent, Off Langbasa Road, Ajah,...",NA,Danielle Meadows Hotel,2,NA,NA
1977,JBB Hotel,,", Lagos - 75, Agric Isawo Road",NA,JBB Hotel,2,NA,NA
1978,Monica Lodge,Lekki ,"Lekki , Lagos - 28, Akwuzu Street, Lekki Phase 1, Lagos State, Nig...",NA,Monica Lodge,2,NA,NA
1979,Yhello Lounge,Ikoyi,"Ikoyi, Lagos - 26, Grillo Street, Off Awolowo Road.",NA,Yhello Lounge,2,NA,NA
1980,New Maas Guest House ,Alimosho,"Alimosho, Lagos - 116, Meiran Road, Meiran, Alimosho",NA,New Maas Guest House ,2,NA,NA
1981,Suite Royal Hotel ,Yaba,"Yaba, Lagos - 9 Bassie Ogemba Str Off Adeniran Ogunsanya Street",NA,Hotel,2,NA,NA
1982,Fimarino Plaza Motel,Orile,"Orile, Lagos - 52, Coker Road, Orile Iganmu, Lagos State, Nigeria...",NA,Fimarino Plaza Motel,2,NA,NA
1983,Babs,Meiran,"Meiran, Lagos - 1/3, Babs Street, Meiran, Lagos State, Nigeria.",NA,Babs,2,NA,NA
1984,Bamida,Lekki,"Lekki, Lagos - Hfg",NA,Bamida,2,NA,NA
1985,People's Galaxy 77 Hotel & Restaurant,Surulere,"Surulere, Lagos - 8, Abibu Oki Close, Off Adeniran Ogunsanya",NA,People's Galaxy 77 Hotel & Restaurant,2,NA,NA
1986,Royal Summer Hotel ,Lagos Island,"Lagos Island, Lagos - Alakoro Marina St ",NA,Royal Summer Hotel ,2,NA,NA
1987,Yommy Plaza Hotel,Surulere,"Surulere, Lagos - 14, Lasisi Giwa Street, Orile/Iganmu ",NA,Hotel,2,NA,NA
1988,De-Signal Hotel 1,Ifako Ijaiye,"Ifako-Ijaiye, Lagos - 40, Adeshina Street",NA,De-Signal Hotel 1,2,NA,NA
1989,SpringHill,Agege,"Agege, Lagos - 146, Augusto Avenue, Old Oko-Oba Road, Agege Lagos...",NA,Hotel,2,NA,NA
1990,Red Carpet Hotel,,", Lagos - Amule Road Junction, Ayobo",NA,Red Carpet Hotel,2,NA,NA
1991,Aaosons Airport Services,Ikeja,"Ikeja, Lagos - 11, Laide Tomori Street, Medical Road, Ikeja, Lago...",NA,Aaosons Airport Services,2,NA,NA
1992,AllanQ Guest Home (AQLounge),Ipaja,"Ipaja, Lagos - No 2, 5th Avenue, Abesan Estate, Ipaja Lagos",NA,AllanQ Guest Home (AQLounge),2,NA,NA
1993,OJ Guest House,Ikotun,"Ikotun, Lagos - 1 Adekinjo Street, Opposite The Synaguoge Church",NA,OJ Guest House,2,NA,NA
1994,Skidam Hotel,,", Lagos - 1, Ibidun Afuwape Street, Community Bank Bus Stop,...",NA,Skidam Hotel,2,NA,NA
1995,Fairview Hotels Limited ,Amuwo Odofin,"Amuwo-Odofin, Lagos - 4-6, Kehinde Etaoko Street, Off Mumini Adio Road, ...",NA,Fairview Hotels Limited ,2,NA,NA
1996,Bobbys Place Hotel,Abule Egba,"Abule - Egba, Lagos - 46, Segun Akinsola Street, Off Agre Road",NA,Bobbys Place Hotel,2,NA,NA
1997,Old Trafford Hotel And Suites,Jibowu,"Jibowu, Lagos - House 4, Mafowoku Street",NA,Old Trafford Hotel And Suites,2,NA,NA
1998,JoNore Plaza Hotel,Ojo,"Ojo, Lagos - 77, Ojo Igbede Road, People\'s Bus Stop, Sabo-Onib...",NA,JoNore Plaza Hotel,2,NA,NA
1999,Bobby's Historical Place,,", Lagos - Bobby Benson Lane, Adjacent Metro Ferry",NA,Bobby's Historical Place,2,NA,NA
2000,Chicago Hotel ,Ikorodu,"Ikorodu, Lagos - 61,Ajilo Isawo, Agric",NA,Chicago Hotel ,2,NA,NA
2001,Virgin Blues Nite Club ,Ebute Metta,"Ebute Metta, Lagos - 41, Ashaka Street, Off Apapa Road",NA,Virgin Blues Nite Club ,2,NA,NA
2002,Paragon Guest House ,Ojo,"Ojo, Lagos - 3, Beach Palace Square",NA,Paragon Guest House ,2,NA,NA
2003,Joenath Palace Hotel & Suites,Ajah,"Ajah, Lagos - Epe Lekki Expressway.",NA,Joenath Palace Hotel & Suites,2,NA,NA
2004,New Town Hotel,Ikorodu,"Ikorodu, Lagos - No 23, New Town Street Adamo",NA,New Town Hotel,2,NA,NA
2005,Benson Hotel,Isolo,"Isolo, Lagos - 7, Benson Akinyele St., Oke Afa-Isolo, Isolo, Lago...",NA,Benson Hotel,2,NA,NA
2006,FORT ROSS EVENT CENTER,Akowonjo,"Akowonjo, Lagos - 45 SHASHA ROAD, ISHIWO BUS STOP, SHASHA LAGOS",NA,FORT ROSS EVENT CENTER,2,NA,NA
2007,Crystal Lake Suites,Isolo Ejigbo,"Isolo/Ejigbo, Lagos - 7, Olakunle Str, Ejigbo",NA,Crystal Lake Suites,2,NA,NA
2008,Bronze Bar Cuisine,Ikoyi,"Ikoyi, Lagos - 37a, Raymond Njoku Street Off Awolowo Road",NA,Bronze Bar Cuisine,2,NA,NA
2009,Hotel De Ajax,Apapa,"Apapa, Lagos - 15, Burma Road",NA,Hotel De Ajax,2,NA,NA
2010,Lisa Guest House,,", Lagos - 6, Adekunle Kuku Close, Ile Ile B/stop",NA,Lisa Guest House,2,NA,NA
2011,Nice Touch Hotel ,Ago,"Ago, Lagos - 166 Ago Palace Way",NA,Hotel,2,NA,NA
2012,King And Queen Hotel,Ikotun,"Ikotun, Lagos - 27, Onilewura Street",NA,King And Queen Hotel,2,NA,NA
2013,Halle,Ajah,"Ajah, Lagos - 24 Efan Street, Off Chevron Road, Lekki- Ajah Expr...",NA,Halle,2,NA,NA
2014,Brighams Suites Ltd,Festac Town,"Festac Town, Lagos - 1st Avenue, Plot 854, Festac Town",NA,Brighams Suites Ltd,2,NA,NA
2015,Stonefield Hotel Event Center,,", Lagos - 4, Sunmola Abayomi Street, Mafoluku",NA,Stonefield Hotel Event Center,2,NA,NA
2016,Riss International Hotel,Surulere,"Surulere, Lagos - Idowu St ",NA,Riss International Hotel,2,NA,NA
2017,Fountain Parks ,Magodo,"Magodo, Lagos - Magodo Phase 1, Magodo, Lagos State, Nigeria.",NA,Fountain Parks ,2,NA,NA
2018,Newport Hotel,Ajeromi Ifelodun,"Ajeromi-Ifelodun, Lagos - 49, Kirikiri Road, Olodi-Apapa",NA,Newport Hotel,2,NA,NA
2019,Millenium Hotel,Apapa,"Apapa, Lagos - 54, Kofo Abayomi",NA,Millenium Hotel,2,NA,NA
2020,Dreamland Hotel,Yaba,"Yaba, Lagos - 13, Onayade Street, Jibowu",NA,Dreamland Hotel,2,NA,NA
2021,Express Hotel,,", Lagos - 48, Awoniyi Elemo Street, Off Salami Lateef Street",NA,Express Hotel,2,NA,NA
2022,Generations Guest House,Agege,"Agege, Lagos - 7, Tunde Adeyemi Street, 32 Old Abeokuta Rd, Agege...",NA,Generations Guest House,2,NA,NA
2023,JD Lounge And Suite,,", Lagos - 1, Olayiwola Street, Off Jim Aro Bus-stop",NA,JD Lounge And Suite,2,NA,NA
2024,Platinum Hotel,Ikorodu,"Ikorodu, Lagos - 1, Amechi Orewa Close, Alogba Eute",NA,Platinum Hotel,2,NA,NA
2025,Kamal Triple K,Lekki,"Lekki, Lagos - 3 Olabisi Seriki Street, Idiagbon Masek, First Gat...",NA,Kamal Triple K,2,NA,NA
2026,Ever Grateful Hotel,Ojo,"Ojo, Lagos - 9, Okachie Street,  Sabo Ajangbandi",NA,Ever Grateful Hotel,2,NA,NA
2027,Meco Hotel (Guest House),Akoka,"Akoka, Lagos - 7, Abudu Ibrahim Street, Community Road",NA,Meco Hotel (Guest House),2,NA,NA
2028,Famous Hotel,Orile,"Orile, Lagos - 12, Lasisi Street, Orile, Lagos State, Nigeria.",NA,Famous Hotel,2,NA,NA
2029,On Point Hotel Ltd,Ebute Metta,"Ebute Metta, Lagos - 7, Coker Street",NA,On Point Hotel Ltd,2,NA,NA
2030,Elinah Hotel,,", Lagos - 2, Medina Way",NA,Elinah Hotel,2,NA,NA
2031,Kode Hotel,,", Lagos - 58/60, Yetunde Kufuji Street, Amule Bus Stop",NA,Kode Hotel,2,NA,NA
2032,Midtown Extended Stay,Ogba,"Ogba, Lagos - 1O Dunlami Street, Off Oshidein Off Akilo Street, ...",NA,Midtown Extended Stay,2,NA,NA
2033,Cy Hotels By Trini Hotels,,", Lagos - 52, Governors Road, Anishere Bus-stop",NA,Cy Hotels By Trini Hotels,2,NA,NA
2034,Better Days Guest House,Alagbado,"Alagbado, Lagos -  2 Light Peace Street, Alagomeji",NA,Better Days Guest House,2,NA,NA
2035,"Palm Beach Sports, Bar And Grill",Lekki,"Lekki, Lagos - Alpha Beach, Waterfront, Off Lekki Ajah Expressway",NA,"Palm Beach Sports, Bar And Grill",2,NA,NA
2036,Oshico Hotel ,Ketu,"Ketu, Lagos - 28, Lagos Rd, Kosofe, Ketu, Lagos State, Nigeria.",NA,Oshico Hotel ,2,NA,NA
2037,Toilam Royal Hotel,,", Lagos - 49, Igbosere Road",NA,Toilam Royal Hotel,2,NA,NA
2038,LINK2MEET HOTEL,Festac,"Festac, Lagos - O 59 House 9 Satellite Town Lagos",NA,LINK2MEET HOTEL,2,NA,NA
2039,Embassy International Hotel,Amukoko,"Amukoko, Lagos - 5, Adeponle St, Amukoko, Lagos State, Nigeria.",NA,Embassy International Hotel,2,NA,NA
2040,Place Sixteen Motel,Igando,"Igando, Lagos - 16, Bamidele Kasali Street",NA,Place Sixteen Motel,2,NA,NA
2041,Saydors Ambassador Hotel And Suites,Ikorodu,"Ikorodu, Lagos - 5, Akin-ogunlewe Street, Igbogbo",NA,Saydors Ambassador Hotel And Suites,2,NA,NA
2042,Hotel De Money,Ibeju Lekki,"Ibeju Lekki, Lagos - No 1, Ololade Street, Lagasa Oribanwa",NA,Hotel De Money,2,NA,NA
2043,Mosu Hotel,Ebute Metta,"Ebute Metta, Lagos - 2, Apapa Road",NA,Mosu Hotel,2,NA,NA
2044,Wabrasaq Hotel,,", Lagos - 221, Iju Ishaga-Gudugba Bus Stop",NA,Wabrasaq Hotel,2,NA,NA
2045,De Eldorado Guest House ,,", Lagos - 114, Isua Road Egan-Igando",NA,De Eldorado Guest House ,2,NA,NA
2046,3 Brothers Hotel,,", Lagos - 1, 3 Brothers Street",NA,3 Brothers Hotel,2,NA,NA
2047,D'Vale Suites,,", Lagos - 20, Olubunmi Rotimi Street, Off Abike-Sulaimon (Do...",NA,D'Vale Suites,2,NA,NA
2048,Magpeet Hotel Limited,,", Lagos - Magpeet Place, Opposite Boys Of Nigeria",NA,Magpeet Hotel Limited,2,NA,NA
2049,Geraico Hotel,Anthony Village,"Anthony, Lagos - Fashola St ",NA,Geraico Hotel,2,NA,NA
2050,Phase 2,Ajegunle,"Ajegunle, Lagos - Akinbo Street, Ajegunle",NA,Phase 2,2,NA,NA
2051,Lipstick Hotel,Lekki,"Lekki, Lagos - 12, Olukolu Street, Igbo Efon",NA,Lipstick Hotel,2,NA,NA
2052,Abbey City Guest House,Ikorodu,"Ikorodu, Lagos - 89, New Convenant Estate, Gbaga, Off Ijede Road",NA,Abbey City Guest House,2,NA,NA
2053,Sabena Express Hotel,Ojo,"Ojo, Lagos - 53, Shibiri Road Rasaki ",NA,Sabena Express Hotel,2,NA,NA
2054,Mello\\\'s Lounge,Surulere,"Surulere, Lagos - 52, Itolo Street, Off Eric Moore Road",NA,Mello\\\'s Lounge,2,NA,NA
2055,Sat Hotel Nigeria Limited,Ikorodu,"Ikorodu, Lagos - 6, Gberigbe Agura Road",NA,Sat Hotel Nigeria Limited,2,NA,NA
2056,First Roland Hotel And Nite Club Annex,Apapa ,"Apapa , Lagos - 27, Payne Crescent",NA,First Roland Hotel And Nite Club Annex,2,NA,NA
2057,Stobal Hotel,Ikorodu,"Ikorodu, Lagos - Ijede Road",NA,Stobal Hotel,2,NA,NA
2058,ALMOND SUITES,Ajah,"Ajah,Thomas Estate, Lagos - Tolu FAdasi Close, Thomas Estate,Ajah",NA,ALMOND SUITES,2,NA,NA
2059,Stonefield Hotel Event Center,,", Lagos - 4, Sunmola Abayomi Street, Mafoluku",NA,Stonefield Hotel Event Center,2,NA,NA
2060,BluHilton,Ikoyi,"Ikoyi, Lagos - Number 89 Lafiaji Street,dolphin Estate At Ikoyi,L...",NA,BluHilton,2,NA,NA
2061,Waksad Guest House,Ikorodu,"Ikorodu, Lagos - No 2, Waksad Street Adamo",NA,Waksad Guest House,2,NA,NA
2062,Mayflower Hotel,Mushin,"Mushin, Lagos - Agege Motor Road",NA,Mayflower Hotel,2,NA,NA
2063,Ultimate Hotel,Bariga,"Bariga, Lagos - 6, Akinwale Street, Bariga",NA,Ultimate Hotel,2,NA,NA
2064,New World Inn (Hawley Street),Lagos Island,"Lagos Island, Lagos - 10 Hawley Street",NA,New World Inn (Hawley Street),2,NA,NA
2065,Jimmy K Relaxation Inn,Oshodi,"Oshodi, Lagos - Agege Motor Rd ",NA,Jimmy K Relaxation Inn,2,NA,NA
2066,Domorose,Amuwo Odofin,"Amuwo-Odofin, Lagos - 6/8, Muritala Street, Amuwo Odofin, Lagos State, N...",NA,Domorose,2,NA,NA
2067,Islanders Hotel,Mushin,"Mushin, Lagos - 28, Agege Motor Road, Idi-Oro, Mushin, Lagos State...",NA,Islanders Hotel,2,NA,NA
2068,Double Three Motel,Egbeda,"Egbeda, Lagos - 15 Omolaja Bello CloseIkotun.",NA,Double Three Motel,2,NA,NA
2069,Fame Executive Hotel,Ketu Alapere,"Ketu-Alapere, Lagos - 13, Adebayo Street",NA,Fame Executive Hotel,2,NA,NA
2070,Corner Guest House,Ebute Metta,"Ebute Metta, Lagos - 74, Freeman Street",NA,Corner Guest House,2,NA,NA
2071,Benalex Hotel ,Lekki,"Lekki, Lagos - 3 Bueno Vista Boulevard, After 2nd Toll Gate, Besi...",NA,Benalex Hotel ,2,NA,NA
2072,Ologbo Nla Hotels,Idimu,"Idimu, Lagos - Alh Rasaq Isheri, Idimu, Lagos State, Nigeria.",NA,Ologbo Nla Hotels,2,NA,NA
2073,De Liberty Villa,Festac Town,"Festac Town, Lagos - Road 112, Plot 12 Opposite 1 Close",NA,Hotel,2,NA,NA
2074,KDT Hotels And Suites,,", Lagos - Plot 12-14 Mobil Estate Road, Opposite VGC Shoppin...",NA,KDT Hotels And Suites,2,NA,NA
2075,Celebrity Hotel,,", Lagos - Plot 212 Amuwo - Odofin GRA,, By Festac Canal/link...",NA,Celebrity Hotel,2,NA,NA
2076,Zukada Hotels,Igando,"Igando, Lagos - 2 Omoariyo Street Olowo Ila Bus Stop Igando Opposi...",NA,Zukada Hotels,2,NA,NA
2077,Elegance Guest Inn,Alagbado,"Alagbado, Lagos - 3, Bola Makinde Avenue, Alagbado, Lagos State, Nig...",NA,Elegance Guest Inn,2,NA,NA
2078,Big Joy Guest House,Alimosho,"Alimosho, Lagos - 127, Agbelekale Rd, Alimosho.",NA,Big Joy Guest House,2,NA,NA
2079,El-Juby Crown Hotel,,", Lagos - 3/5 Evans Ose Street, Ashipa Road, Amule Bus Stop",NA,El-Juby Crown Hotel,2,NA,NA
2080,BluHiltion Guesthouse And Apartment,Ikoyi,"Ikoyi, Lagos - Number 89 Lafiaji Street At Dolphin Estate Ikoyi",NA,BluHiltion Guesthouse And Apartment,2,NA,NA
2081,Majaland Hotel And Suites,,", Lagos - 1/3 Ifeanyi Ugonbor Street, Off Powerline Aina Est...",NA,Majaland Hotel And Suites,2,NA,NA
2082,Nymph Suites,Lekki,"Lekki, Lagos - 10, Chillovilla Crescent (Opp Mega Chicken)",NA,Nymph Suites,2,NA,NA
2083,Forum Hotel ,Isolo,"Isolo, Lagos - Osolo Way ",NA,Forum Hotel ,2,NA,NA
2084,De Prince Guest House,Ikoyi,"Ikoyi, Lagos - 48, Norman Williams Street",NA,De Prince Guest House,2,NA,NA
2085,Shell Guest House ,Victoria Island,"Victoria Island, Lagos - Park View ",NA,Shell Guest House ,2,NA,NA
2086,Basarak Palace Hotel ,Alimosho,"Alimosho, Lagos - 13 Ambassador Street, Off Agric Road By Ara Juncti...",NA,Hotel,2,NA,NA
2087,Lilynest Suites And Leisure,Ojo,"Ojo, Lagos - 6, Nepa Road, Corner B/stop, Off Alaba Int\'l Mark...",NA,Lilynest Suites And Leisure,2,NA,NA
2088,Rich Gate Garden,,", Lagos - 98B, Bola Tinubu Road (Formerly Old Akute Road), I...",NA,Rich Gate Garden,2,NA,NA
2089,Stemayes Hotel,Imota,"Imota, Lagos - 3 Stemayes Street, Off Igbokuta Imota",NA,Stemayes Hotel,2,NA,NA
2090,Prestige Motel,,", Lagos - 26, Faghounlu Street",NA,Prestige Motel,2,NA,NA
2091,Shomol Home And Hotels,Omole,"Omole, Lagos - 1, Bamako Estate, Ojodu L;agos",NA,Shomol Home And Hotels,2,NA,NA
2092,Rizchin Home,Lekki,"Lekki, Lagos - House 14 Road 42 Olawale Cole -Onitiri Avenue, Off...","₦20,000",Hotel,2,NA,NA
2093,JannyPaul Hotel,Ikorodu,"Ikorodu, Lagos - 192 Elemu B/stop, Oke-Eletu Ijede Road",NA,Hotel,2,NA,NA
2094,Ines Suites B Close,,", Lagos - 23, Road B Close, House 7",NA,Ines Suites B Close,2,NA,NA
2095,Supreme Prestige Hotel,Ojodu Berger,"Ojodu Berger, Lagos - 7/9, Gboyejo Kilo Street",NA,Supreme Prestige Hotel,2,NA,NA
2096,Bayota Motels,Ikotun,"Ikotun, Lagos - 1, Ayo Anifowose Street",NA,Bayota Motels,2,NA,NA
2097,Impact Suites & Services,,", Lagos - House 9, Road 12, First Avenue",NA,Impact Suites & Services,2,NA,NA
2098,Harmony International Hotel,Ajeromi Ifelodun,"Ajeromi-Ifelodun, Lagos - 160A ,Gaskiya Road, Badiya Amukoko, Ajeromi-Ifelod...",NA,Harmony International Hotel,2,NA,NA
2099,Top Hill Guest House,Ikorodu,"Ikorodu, Lagos - 32, Shiriki Road, R.S.A. Busstop, Isaworo, Agric",NA,Top Hill Guest House,2,NA,NA
2100,House 37 Guest House,,", Lagos - 37A, Fatai Idowu,  Arobieke Street",NA,House 37 Guest House,2,NA,NA
2101,Memic Suites ,,", Lagos - Km 28 Lagos-Epe Express Way, Beside Doren Hospital",NA,Memic Suites ,2,NA,NA
2102,B-Jay Hotels,,", Lagos - 93, Akesan Road",NA,B-Jay Hotels,2,NA,NA
2103,Newbliss Garden Hotels,,", Lagos - No 1, Engineer Niyi Oluwole Close, Off Fagbeyiro",NA,Newbliss Garden Hotels,2,NA,NA
2104,Brooklyn Hotels Annex ,Lekki,"Lekki, Lagos - Akinyemi Str ",NA,Brooklyn Hotels Annex ,2,NA,NA
2105,Royal Bliss Hotel,,", Lagos - 3/5, Chief Olaogun, Lagos - Abeokuta Express Way",NA,Royal Bliss Hotel,2,NA,NA
2106,Moye Hotel ,Ikorodu,"Ikorodu, Lagos - 117 Sagamu Road",NA,Moye Hotel ,2,NA,NA
2107,Step-Up Guest House ,,", Lagos - 6, Dolapo Tanimowo Close, Off Unity Aghedo Street,...",NA,Step-Up Guest House ,2,NA,NA
2108,The Grant Suites Hotel,,", Lagos - C.M.D Road, Gate 3, Management Village, Shangisha ",NA,Hotel,2,NA,NA
2109,RAB GARDEN & GUEST HOUSE,Ojo,"Ojo, Lagos - 26, AFOLABI STREET, IYANA CELE B/STOP, SHIBIRI, OJ...",NA,RAB GARDEN & GUEST HOUSE,2,NA,NA
2110,Hotel D-Azeez,Mushin,"Mushin, Lagos - Omoniyi Str, Olosa, Mushin, Lagos State, Nigeria.",NA,Hotel D-Azeez,2,NA,NA
2111,Aristo Gate Hotel,,", Lagos - Aristo Busstop Ijegun- Isolo Road, Ijegun, Isheri ...",NA,Aristo Gate Hotel,2,NA,NA
2112,Chapta 2 Guest House,,", Lagos - 46,Bolaji Omupo Street, Palmgroove",NA,Chapta 2 Guest House,2,NA,NA
2113,Fabsat Hotel Limited,Ogba,"Ogba, Lagos - 10, Adeyemi Ajiboye Close, Beside Health Center",NA,Fabsat Hotel Limited,2,NA,NA
2114,Halig Hotel And Events Center,Ikotun,"Ikotun, Lagos - 13 Musibau Street, Okerube Abaranje",NA,Halig Hotel And Events Center,2,NA,NA
